id,hour,rideType,price,distance,temp,precip,atDark
f141d96b-152a-46bf-a9a6-8b6dfd966393,10,lyft_plus,13.5,2.4,35.6,0,TRUE
5a26f567-27de-48dc-acb1-b5f90546a9e6,4,lyft_plus,13.5,2.42,37.51,0,FALSE
80ff986f-750e-4754-9b90-39b1329553e5,19,lyft_lux,16.5,0.56,49.22,1,TRUE
8679f109-2176-4be6-961e-5fd4beb4061f,18,lyft_lux,16.5,1.38,20.78,0,TRUE
1a2f462c-a3c6-4f5d-a9a8-b1ab9f29cb33,9,lyft_plus,13.5,1.1,36.11,1,TRUE
62c4a530-17b8-407e-94f0-c218872ca084,7,lyft_premier,13.5,0.96,22.64,1,TRUE
0e704332-6912-4d29-bc0b-0847818e0470,8,lyft_plus,13.5,2.46,35,0,TRUE
d3cf51ae-97bc-486c-bf97-e7475d5f49e6,21,lyft_lux,26,3.1,52.1,1,FALSE
2798e963-e353-43e5-8901-3fbdc50e0f70,3,lyft,7,1.69,32.15,0,FALSE
4ce10f3d-bb3e-4f56-b5ad-06c44d0f3b48,12,lyft_plus,19.5,3.11,12.13,0,TRUE
4864e5d6-e146-4f82-829c-40adb68cf4a8,18,lyft_premier,26,3.98,38.16,1,TRUE
c855868a-f427-4271-ab63-f537dbc1a832,13,lyft_lux,42.5,3.19,30.58,0,TRUE
1d4c135f-c646-42bc-997e-ee9bc680235c,19,lyft_premier,10.5,0.75,37.54,0,TRUE
18a63bc6-39db-431b-aa76-9e4d16b4691d,15,lyft_lux,34,4.76,35.9,0,TRUE
f898d3bc-baa8-4eda-91de-64cc7dcabf5c,22,lyft_plus,13.5,2,34.59,0,FALSE
3ab8aafc-1a58-4434-84cd-b759479fd961,8,lyft,11,2.79,19.09,0,TRUE
b96e0416-d875-4945-baef-63e3fe77d94b,9,lyft_plus,16.5,2.78,37.12,0,TRUE
08460a0e-6adb-4678-b0a5-3d5f69bbc04f,18,lyft_plus,16.5,3.2,53.51,0,TRUE
b13b6b6d-6d2a-4c0d-abd3-71bd218656c5,12,lyft_luxsuv,45.5,5.35,29.04,1.00E+00,TRUE
c212174c-1ca7-49c7-bdb3-f9d3602bfaf0,17,lyft_luxsuv,32.5,2.37,43.2,0,TRUE
76359ebd-7162-4e3f-8cbb-8d1e862f0599,23,lyft_plus,13.5,1.39,35.18,0,FALSE
1ff6b525-739e-4cd9-a897-d396fef06211,0,lyft_luxsuv,34,2.66,34.07,0,FALSE
d103f0e2-d894-40dd-b304-e0e2a899713b,15,lyft,10.5,3.2,34.08,1.00E+00,TRUE
1d5dee34-9eb4-4801-b335-a58a1bddd1bd,22,lyft_lux,16.5,1.1,49.5,1.00E+00,FALSE
ed681065-ef5d-4288-a853-e8e8fbf0fc35,22,lyft_lux,30,4.58,34.59,0,FALSE
2b5f661d-5fe6-4306-9b0b-6d1ccb89ae4e,7,lyft_premier,19.5,2.31,14.24,0,TRUE
8d6aafe6-a25a-4be6-93c0-46e9d8b9724d,15,lyft_lux,57.5,3.23,54.38,0,TRUE
7a1c17e6-996b-44ac-9761-b5d9db13be8f,10,lyft_lux,19.5,1.72,35.6,0,TRUE
c42a20d1-50bf-455e-b51b-3d8221bb037d,14,lyft,10.5,2.51,39.58,1,TRUE
f976f6ef-bb46-4bea-b814-6ad40b0b1be3,5,lyft_lux,19.5,1.72,34.62,0,TRUE
529f813f-dfbf-4f6a-8d06-5e9a18eba1bc,2,lyft_plus,16.5,2.65,34.5,1,FALSE
de32838c-41da-4935-ae69-b87eba839d87,15,lyft_lux,26,2.98,54.38,0,TRUE
0f65fd23-cd13-44aa-b32e-46f1560d563c,17,lyft_lux,30,2.55,43.88,1,TRUE
5ecef96f-fb09-495e-8ac1-83cfee78896e,10,lyft,9,2.18,29.99,0,TRUE
80cf25dc-12a1-441c-8f21-7aaf726bb3b2,1,lyft_premier,16.5,2.03,32.45,0,FALSE
5798fc15-c7e8-49ba-a2ba-cdb232cd3c0e,23,lyft_plus,13.5,1.14,39.93,1,FALSE
439ece48-5037-4210-8f55-27ce11809b02,20,lyft_luxsuv,32.5,2.8,43.63,0,TRUE
db259abb-c522-4ce8-9afa-67f51b6ac3e0,21,lyft,7,0.67,41.4,0,FALSE
3ffa3fd9-749f-438d-ad47-72fe74ae1e91,18,lyft,7,0.57,35.13,0,TRUE
b215f3e3-3c87-49f2-8355-0f754f12d63d,15,lyft_plus,16.5,2.89,42.54,1,TRUE
994e0403-f423-48bb-8936-ac5323acf41f,14,lyft_plus,16.5,1.99,36.08,0,TRUE
98efbd7c-a04d-4113-8b8a-b00fb97c7055,2,lyft_premier,13.5,1.25,37.35,1,FALSE
bb4dbee0-9880-4707-b623-9ecb121e26d9,17,lyft_lux,32.5,4.47,52.68,0,TRUE
b84e8c2c-586b-423e-8245-acfea543c0d8,18,lyft_luxsuv,45.5,4.7,32.67,0,TRUE
eeccbaeb-4d32-48b8-8d07-bfb031002974,14,lyft_luxsuv,26,1.15,34.01,0,TRUE
3d09f763-99bc-47ca-90c0-e23c2bf9225e,5,lyft_luxsuv,32.5,1.84,45.78,0,TRUE
172db7da-7645-4741-8cb1-4803c9ae9e94,4,lyft,7,1.41,37.06,1,FALSE
52bbba95-78a1-40d9-8eda-2672977bf55b,3,lyft_lux,26,2.64,37.1,0,FALSE
0d84219a-c15b-433b-8a6c-45cceb40b9ef,17,lyft,9,2.46,54.59,0,TRUE
91fbe674-e64d-4b8f-ba36-0d8630eb6c06,14,lyft_plus,16.5,2.88,39.58,1,TRUE
c69ab0c8-3de4-4afc-ab16-d94ef574bb2d,6,lyft_plus,19.5,3.3,32.16,0,TRUE
cc1a33cd-a551-4bef-a370-74cc6ba47280,19,lyft,9,2.42,35.66,0,TRUE
67811d22-57fa-47f3-b15a-b5d392f09833,15,lyft_premier,11,0.52,41.79,1,TRUE
41e4c726-07f7-40cc-a216-633a7713da98,4,lyft_lux,26,3.08,31.1,0,FALSE
